type,expansion,name,id,cost,effect,keywords
Gem,AE,Rohdiamant,DiamondCluster,4,"
      <p>
        Erhalte 2 <span class=""aether"">&AElig;</span>.<br />
        Ist dies dein genau zweiter gerade ausgespielter Rohdiamant?<br />
        Erhalte 2 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Spell,AE,Chaosbogen,ChaosArc,6,"
      <p>
        <b>Wirken:</b> Füge 3 Schaden zu.<br />
        +2 Schaden für jeden gebundenen Zauber, der an diesen Riss direkt angrenzt.
      </p>
    ",[]
Spell,AE,Entzünden,Ignite,4,"
      <p>
        <b>Wirken:</b> Füge 2 Schaden zu.<br />
        Wähle 1 anderen Spieler, der 1 Energie erhält.
      </p>
    ",[]
Spell,AE,Essenz-Diebstahl,EssenceTheft,5,"
      <p>
        <b>Wirken:</b> Füge 3 Schaden zu.<br />
        Wirfst du jetzt 1 Karte deiner Wahl von der Hand ab? Wähle 1 Spieler, der 1 Leben heilt.
      </p>
    ",[]
Gem,AE,Flammen-Rubin,SearingRuby,4,"
      <p>
        Erhalte 2 <span class=""aether"">&AElig;</span>.<br />
        Erhalte 1 <span class=""aether"">&AElig;</span>, aber nur zum Erwerb von Zaubern.
      </p>
    ",[]
Spell,AE,Blitzsturm,FeralLightning,5,"
      <p>
        <b>Dauerhaft:</b> Darf an einen dunklen Riss gebunden werden (ohne ihn gebündelt zu haben).<br />
        <b>Wirken:</b> Füge 3 Schaden zu.
      </p>
    ",[]
Spell,AE,Einblick ins Nichts,PlanarInsight,6,"
      <p>
        <b>Wirken:</b> Füge 2 Schaden zu.<br />
        +1 Schaden für jeden deiner aktiven Risse.
      </p>
    ",[]
Spell,AE,Spektrales Echo,SpectralEcho,3,"
      <p>
        <b>Wirken:</b> Füge 2 Schaden zu.<br />
        Wähle bis zu 1 Karte auf deiner Hand. Zerstöre sie.
      </p>
    ",[]
Gem,AE,Glühender Opal,BurningOpal,5,"
      <p>
        Erhalte 3 <span class=""aether"">&AElig;</span>.<br />
        Wirfst du jetzt 1 Karte deiner Wahl von deiner Hand ab? Wähle 1 anderen Spieler, der 1 Karte zieht.
      </p>
    ",[]
Spell,AE,Fressende Leere,ConsumingVoid,7,"
      <p>
        <b>Wirken:</b> Zerstöre bis zu 2 Karten deiner Wahl auf deiner Hand.<br />
        Füge X Schaden zu.<br />
        X = 0/3/6 für 0/1/2 zerstörte Karten.
      </p>
    ",[]
Relic,AE,Instabiles Prisma,UnstablePrism,3,"
      <p>
        Spiele 1 Kristall von deiner Hand sofort 2x aus. Dann zerstöre ihn.
        <span class=""or"">ODER</span>
        Erhalte 2 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Gem,AE,Getrübter Saphir,CloudedSapphire,6,"
      <p>
        Erhalte 3 <span class=""aether"">&AElig;</span>.<br />
        Ist dies dein genau erster gerade ausgespielter Getrübter Saphir? 
        Wähle 1 anderen Spieler, der 1 Energie erhält.
      </p>
    ",[]
Relic,AE,Talisman der Magier,MagesTalisman,5,"
      <p>
        Erhalte 1 Energie.<br />
        Wähle 1 anderen Spieler, der 1 Energie erhält.
      </p>
    ",[]
Relic,AE,Gebogener Dolch,FlexingDagger,2,"
      <p>
        Für den nächsten Riss, den du in deinem Zug bündelst oder aktivierst, zahle 3 
        <span class=""aether"">&AElig;</span> weniger.
        <span class=""or"">ODER</span>
        Zerstöre diese Karte und füge 1 Schaden zu.
      </p>
    ",[]
Spell,AE,Lava-Takeln,LavaTendril,4,"
      <p>
        <b>Gebunden:</b> Am Ende von <i>Zauber wirken</i>: Füge 1 Schaden zu.<br />
        <b>Wirken:</b> Füge 3 Schaden zu.
      </p>
    ",[]
Relic,AE,Vortex in Flaschen,BottledVortex,3,"
      <p>
        Wähle bis zu 2 Karten auf deiner Hand/Ablagestapel. Zerstöre sie.<br />
        Ziehe 1 Karte.<br />
        Zerstöre Vortex in Flaschen.
      </p>
    ",[]
Spell,AE,Arkaner Nexus,ArcaneNexus,7,"
      <p>
        <b>Gebunden:</b> Du darfst 1 gerade gespielten Kristall zurück auf die Hand nehmen.<br />
        <b>Wirken:</b> Füge 4 Schaden zu.
      </p>
    ",[]
Spell,AE,Dunkles Feuer,DarkFire,5,"
      <p>
        <b>Wirken:</b> Wirf bis zu 2 Karten deiner Wahl von deiner Hand ab.<br />
        Füge X Schaden zu.<br />
        X = 0/3/6 für 0/1/2 abgeworfene Karten.
      </p>
    ",[]
Spell,AE,Phoenix-Flamme,PhoenixFlame,3,"
      <p>
        <b>Wirken:</b> Füge 2 Schaden zu.<br />
        Wirfst du jetzt 1 Energie ab? +2 Schaden.
      </p>
    ",[]
Gem,AE,Jade,Jade,2,"
      <p>
        Erhalte 2 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Spell,AE,Erweiterter Blick,AmplifyVision,4,"
      <p>
        <b>Wirken:</b> Bündele 1 deiner dunklen Risse mit den geringsten <span class=""aether"">&AElig;</span>-Kosten.<br />
        Füge 2 Schaden zu.<br />
        Sind alle deine Risse aktiv? +1 Schaden.
      </p>
    ",[]
Gem,AE,V'Riswood Bernstein,VriswoodAmber,3,"
      <p>
        <b>Einmalig bei Erwerb:</b><br />
        Du darfst diesen Kristall auf dein Deck legen.<br />
        Erhalte 2 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Relic,AE,Sprengstab,BlastingStaff,4,"
      <p>
        Wähle 1 Zauber, den du gerade gebunden hat. Wirke ihn und füge +2 Schaden zu.
      </p>
    ",[]
Gem,AE,Sieber-Perle,SiftersPearl,3,"
      <p>
        Erhalte 2 <span class=""aether"">&AElig;</span>.<br />
        Du und jeder andere Spieler:<br />
        Sieh dir die oberste Karte deines Decks an. Du darfst sie abwerfen.
      </p>
    ",[]
Spell,AE,Feuer-Peitsche,WildfireWhip,6,"
      <p>
        <b>Gebunden:</b> In deinem Schritt <i>Aktionen ausführen</i> darfst du 2 <span class=""aether"">&AElig;</span> bezahlen, um 1 Spieler zu wählen:<br />
        Wirke 1 seiner gebundenden Zauber.<br />
        <b>Wirken:</br> Füge 4 Schaden zu.
      </p>
    ",[]
Relic,AE,Orb der Bündelung,FocusingOrb,4,"
      <p>
        Bündele 1 Riss deiner Wahl (bei 1 Spieler deiner Wahl).
        <span class=""or"">ODER</span>
        Zerstöre diese Karte und die <i>Feste</i> heilt 3 Leben.
      </p>
    ",[]
Spell,AE,Bann-Welle,OblivionSwell,5,"
      <p>
        <b>Gebunden (1x pro Zug):</b> Erhalte 1 <span class=""aether"">&AElig;</span> im Schritt <i>Aktionen ausführen</i>.<br />
        <b>Wirken:</b> Füge 2 Schaden zu.<br />
        Wirfst du jetzt 1 Kristall ab? +X Schaden.<br />
        X = <span class=""aether"">&AElig;</span>-Kosten des Kristalls.
      </p>
    ",[]
