type,expansion,name,id,cost,effect,keywords
Spell,OD,Karbonisieren (1. Auflage: Verkohlen),Char,8,"
        <p>
          <b>Wirken:</b> Füge 6 Schaden zu.<br/>
          Wird dadurch ein MONSTER getötet? Wähle 1 Spieler, der 2 Leben heilt.
        </p>
      ",[]
Gem,OD,Fremdkörper,AlienElement,4,"
        <p>
          Erhalte 1 <span class=""aether"">&AElig;</span>.<br/>
          Erhalte 1 <span class=""aether"">&AElig;</span> für jeden deiner Risse mit einem
          gebundenen Zauber.
        </p>
      ",[]
Spell,OD,Versengen,Scorch,5,"
        <p>
          <b>Wirken:</b> Füge 4 Schaden zu.<br/>
          Wird dadurch ein MONSTER aus dem Erzfeind-Stapel getötet? Wähle 1 anderen Spieler, der 2
          Energie erhält.
        </p>
      ",[]
Spell,OD,Pyromantie,Pyromancy,7,"
        <b>Wirken:</b> Füge 1 Schaden zu.<br/>
        Werfen die anderen Spieler jetzt insgesamt bis zu 2 Karten ab? +X Schaden.
        X = 0/3/6 für 0/1/2 abgeworfene Karten.
      ",[]
Spell,OD,Blitz-Aura,FeedbackAura,5,"
        <p>
          <b>Wirken:</b> Füge 3 Schaden zu.<br/>
          Hast du 4 oder mehr Energie? +3 Schaden.
        </p>
          ",[]
Spell,OD,Vernichtung,Catalyst,6,"
        <p>
          <b>Wirken:</b> Füge 2 Schaden zu.<br/>
          Hast du 2 oder weniger übriges Leben? +5 Schaden.
        </p>
      ",[]
Gem,OD,Schmerzstein,PainStone,6,"
        <p>
          Erhalte 3 <span class=""aether"">&AElig;</span>.
          <span class=""or"">ODER</span>
          Erhalte 2 <span class=""aether"">&AElig;</span>. Füge 1 Schaden zu.
        </p>
      ",[]
Relic,OD,Astral-Würfel,AstralCube,5,"
        <p>
          Hast du gerade 1 Kristall gespielt? Nimm ihn zurück auf deine Hand.<br/>
          Sieh dir die oberste Karte des Reihenfolgedecks an. Siehst du eine Spieler-
          Reihenfolgekarte? Dieser Spieler heilt 1 Leben.
        </p>
      ",[]
Relic,OD,Mystische Sphäre,RiddleSphere,3,"
        <p>
          Erhalte 1 Energie.
          <span class=""or"">ODER</span>
          Wirfst du jetzt 2 Energie ab? Erhalte 5 <span class=""aether"">&AElig;</span>.
        </p>
      ",[]
Spell,OD,Verbindung zum Nichts,NetherConduit,7,"
        <b>Wirken:</b> Wähle 1 Karte auf der Hand mit <span class=""aether"">&AElig;</span>-Kosten
        von 2 oder mehr.<br/>
        Füge X Schaden zu. X = Anzahl fehlender Karten im Vorrat dieser Karte.<br/>
        1 anderer Spieler deiner Wahl erwirbt gratis 1 Karte dieses Vorrats.<br/>
        <span class=""hint"">(Hilfe: Kristall-Vorräte haben 7 Karten. Artefakte und Zauber 5.)</span>
      ",[]
Gem,OD,Verfluchter Beryllit,HauntedBerylite,3,"
        <p>
          Erhalte 2 <span class=""aether"">&AElig;</span>.
          <span class=""or"">ODER</span>
          Wirfst du jetzt 1 Karte deiner Wahl von der Hand ab? Erhalte 2 Energie.
        </p>
      ",[]
