type,expansion,name,id,cost,effect,keywords
Spell,promos,In Flammen ertrinken,DrownInFlames,6,"
      <p>
        <b>Wirken:</b> Füge 4 Schaden zu.<br />
        Wiederhole das, wenn du 2 Energie abwirfst.
      </p>
    ",[]
Spell,promos,Flüchtiger Blick,FleetingVision,3,"
      <p>
        <b>Wirken:</b> Füge 2 Schaden zu.<br />
        <b>Jeder Spieler:</b> Sieh dir die 2 obersten Karten deines
		Decks an. Du darfst sie jeweils abwerfen.
      </p>
    ",[]
Spell,promos,Splitter-Geschoss,SplinterMissile,5,"
      <p>
        <b>Wirken:</b> Füge 4 Schaden zu.<br />
        Wirft 1 anderer Spieler deiner Wahl 1 Karte
		von seiner Hand ab?
		Der Schaden ist nun aufteilbar.
      </p>
    ",[]
Gem,promos,Echo Stone,EchoStone,4,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        If you have played another Echo Stone this turn, gain an additional 
        1 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Spell,promos,Thieving Spirit,ThievingSpirit,5,"
      <p>
        <b>Cast:</b> Deal 4 damage.<br />
        Gain 1 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Gem,promos,Fractured Quartz,FracturedQuartz,4,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        You may destroy two cards in this card's supply pile. If you do, 
        gain an additional 1 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Relic,promos,Rock Launcher,RockLauncher,3,"
      <p>
        Discard or destroy a card in hand. If you do, deal damage equal to its cost.
      </p>
    ",[]
Relic,promos,Abacus of Ignition,AbacusOfIgnition,4,"
      <p>
        You may casdt any ally's prepped spell.<br />
        Any ally draws a card.
      </p>
    ",[]
Spell,promos,Illuminating Flame,IlluminatingFlame,6,"
      <p>
        <b>Cast:</b> Deal 5 damage.<br/>
        If this was cast from an opened III or IV breach, you may destroy this.
        If you do, gain 3 charges.
      </p>
    ",[]
Spell,promos,Chronal Arc,ChronalArc,7,"
      <p>
        This spell must be prepped to two adjacent breaches so that this card 
        touches both breaches. This fully occupies both breaches.<br />
        <b>Cast:</b> Deal 4 damage.<br />
        You may place this card into your hand.
      </p>
    ",[]
Gem,promos,Coruscating Sapal,CoruscatingSapal,4,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        You may lose 1 charge. If you do, 
        gain an additional 2 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Relic,promos,Humming Shell,HummingShell,7,"
      <p>
        Destroy up to two cards in hand or discard pile.
        <span class=""or"">OR</span>
        Gain 2 charges.
      </p>
    ",[]
Spell,promos,Force Catalyst,ForceCatalyst,4,"
      <p>
        While prepped, during you main phase you may spend 3 <span class=""aether"">&AElig;</span> 
        to cast any player's prepped spell.<br />
        <b>Cast:</b> Deal 3 damage.
      </p>
    ",[]
