type,expansion,name,id,cost,effect,keywords
Gem,BS,Triplite Core,TripliteCore,4,"
      <p>
      Gain 3 <span class=""aether"">&AElig;</span> that can only be used to gain 
      cards.
      </p>
      ",[]
Spell,BS,Nerve Jab,NerveJab,2,"
      <p>
      <b>Cast:</b> Deal 1 damage.<br/>
      Silence a minion.
        </p>
      ","[""silence""]"
Spell,BS,Double Tap,DoubleTap,3,"
      <p>
      <b>Cast:</b> Deal 1 damage. Deal 1 damage.<br/>
      <span class=""hint"">(Effects that modify damage affect both 
      instances of damage this spell deals.)</span>
        </p>
        ",[]
Gem,BS,Oblivium Resin,ObliviumResin,5,"
      <p>
      Gain 2 <span class=""aether"">&AElig;</span>.<br/>
      If you have three or more cards that cost 0 <span class=""aether"">&AElig;</span> 
      in hand, gain an additional 2 <span class=""aether"">&AElig;</span>.
      </p>
      ",[]
Gem,BS,Summonite,Summonite,3,"
      <p>
      Gain 2 <span class=""aether"">&AElig;</span>.
        <span class=""or"">OR</span>
      Gain a Summonite from the supply and place it on top of any ally's 
      discard pile.
      </p>
      ",[]
Relic,BS,Manifold Container,ManifoldContainer,4,"
      <p>
      Gain 1 <span class=""aether"">&AElig;</span>.<br/>
      The next time you gain a card this turn, you may also gain a card 
      that costs less than the gained card.
      </p>
      ",[]
Spell,BS,Draining Touch,DrainingTouch,2,"
      <p>
      <b>Cast:</b> Deal 1 damage.<br/>
      Gain 1 charge.
        </p>
      ",[]
Gem,BS,Jolting Crust,JoltingCrust,3,"
      <p>
      Gain 2 <span class=""aether"">&AElig;</span>. Gain 1 pulse token.
        <span class=""or"">OR</span>
      Gain 2 <span class=""aether"">&AElig;</span>. Lose 1 pulse token.
        If you do, gain 1 charge.
      </p>
      ","[""pulse""]"
Gem,BS,Mentite Chunk,MentiteChunk,5,"
      <p>
      Gain 3 <span class=""aether"">&AElig;</span>.<br/>
      If there are seven or more cards in your discard pile, gain an additional 
      1 <span class=""aether"">&AElig;</span>.
      </p>
      ",[]
Relic,BS,Soul Cords,SoulCords,5,"
      <p>
      Any player gains 1 pulse token.<br/>
      Each player with 2 or more pulse tokens gains 1 charge.
      </p>
      ","[""pulse""]"
Gem,BS,Voidium Spike,VoidiumSpike,3,"
      <p>
      Gain 2 <span class=""aether"">&AElig;</span>.<br/>
      Each ally may discard a card in hand. Each ally that does gains 1 charge.
      </p>
      ",[]
Spell,BS,Precision Shot,PrecisionShot,3,"
      <p>
        <b>Link</b> <span class=""hint"">(Two spells with Link mat be prepped to the same breach.)</span>
        </p>
        <p>
        <b>Cast:</b> Deal 2 damage.<br/>
        If there are six or more other cards in your 
        discard pile, deal 2 additional damage.
        </p>
        ","[""link""]"
Gem,BS,Muted Lacosite,MutedLacosite,5,"
      <p>
      When you gain this, Silence a minion.<br/>
      Gain 3 <span class=""aether"">&AElig;</span>.
      </p>
      ","[""silence""]"
Spell,BS,Blade Of Wisdom,BladeOfWisdom,6,"
      <p>
      When you gain this, if there are seven or more other cards in your 
        discard pile, gain 2 life.<br/>
        <b>Cast:</b> Deal 5 damage.
        </p>
      ",[]
Spell,BS,Stunning Force,StunningForce,5,"
      <p>
      <b>Cast:</b> Deal 4 damage to the nemesis.<br/>
      Silence a minion.
        </p>
      ","[""silence""]"
Spell,BS,Flash Of Intellect,FlashOfIntellect,4,"
      <p>
      <b>Link</b> <span class=""hint"">(Two spells with Link mat be prepped to the same breach.)</span>
      </p>
      <p>
      <b>Cast:</b> Deal 3 damage.<br/>
      If there are six or more other cards in your 
      discard pile, you may gain a Flash of Intellect from the supply and 
      place it on top of your deck.
        </p>
      ",[]
Relic,BS,Scholars Opus,ScholarsOpus,3,"
      <p>
      Gain 1 charge.<br/>
      If there are seven or more cards in your discard pile, gain 1 
      additional charge.
      </p>
      ",[]
Relic,BS,Bottled Star,BottledStar,7,"
      <p>
      Gain 3 charges.
      </p>
      ",[]
Spell,BS,Burning Current,BurningCurrent,3,"
      <p>
      While prepped, during your casting phase you may lose 2 pulse tokens. 
        If you do, spells you cast this turn deal 1 additional damage.<br/>
        <b>Cast:</b> Deal 1 damage.<br/>
        Gain 1 pulse token.
        </p>
      ","[""pulse""]"
Spell,BS,Psychic Eruption,PsychicEruption,8,"
      <p>
      <b>Cast:</b> Deal damage equal to the number of cards in any player's 
      discard pile.
        </p>
      ",[]
Relic,BS,Living Gauntlet,LivingGauntlet,4,"
      <p>
      Reveal the top card of your deck.<br/>
      You may destroy or discard it. Each ally may draw a card. Each ally 
      that does discards a card in hand.
      </p>
      ",[]
Gem,BS,Shining Tetrite,ShiningTetrite,6,"
      <p>
      Gain 4 <span class=""aether"">&AElig;</span> that cannot be used to gain 
      a card.
      </p>
      ",[]
