type,expansion,name,id,cost,effect,keywords
Gem,Legacy,Branching Radite,BranchingRadite,4,"
        <p>
          Gain 2 <span class=""aether"">&AElig;</span>. <br/>
          If you have two or more prepped spells, gain an additional 1 
          <span class=""aether"">&AElig;</span>.
        </p>
      ","[""weak""]"
Spell,Legacy,Fire Chakram,FireChakram,2,"
        <p>
          <b>Cast:</b> Deal 2 damage.
        </p>
      ","[""weak""]"
Relic,Legacy,Brane Knife,BraneKnife,3,"
        <p>
          Gain 1 charge. <br/>
          Any ally focuses their closed breach with 
          the lowest focus cost.
        </p>
      ","[""weak""]"
Gem,Legacy,Fulmite Slab,FulmiteSlab,6,"
        <p>
          Gain 1 <span class=""aether"">&AElig;</span>. Gain 2 pulse tokens. <br/>
          Until the end of the turn, you may lose 1 pulse token to gain 
          1 <span class=""aether"">&AElig;</span> any number of times.
        </p>
      ","[""pulse"",""strong""]"
Gem,Legacy,Gilded Marble,GildedMarble,6,"
        <p>
          Gain 3 <span class=""aether"">&AElig;</span>.
        </p>
      ","[""weak""]"
Relic,Legacy,Voltaic Relay,VoltaicRelay,4,"
        <p>
          Any player gains 3 pulse tokens. <br/>
          That player may lose 1 pulse token. If they do, 
          they destroy a card in hand.
        </p>
      ","[""strong"",""pulse""]"
Spell,Legacy,Sparking Siphon,SparkingSiphon,3,"
        <p>
          When you gain this, gain 2 pulse tokens. <br/>
          <b>Cast:</b> Deal 2 damage. <br/>
          You may lose 1 pulse token. If you do, any player gains 1 life.
        </p>
      ","[""pulse"",""strong""]"
Spell,Legacy,Breach Communion,BreachCommunion,4,"
        <p>
          While prepped, once per turn during your main phase 
          you may gain 1 pulse token. <br/>
          <b>Cast:</b> Deal 2 damage.<br/>
          You may lose 2 pulse tokens. 
          If you do, deal 3 additional damage.
        </p>
      ","[""strong"",""pulse""]"
Relic,Legacy,Infernal Mirror,InfernalMirror,5,"
        <p>
          Any ally gains 1 charge. Any player gains 2 pulse tokens. 
          You may lose 2 pulse tokens. If you do, cast any player's 
          prepped spell. That spell deals 1 additional damage.
        </p>
      ","[""pulse"",""strong""]"
Relic,Legacy,Geophage,Geophage,3,"
        <p>
          Gain 1 <span class=""aether"">&AElig;</span>. <br/>
          You may destroy a gem in hand.
        </p>
      ","[""weak""]"
