type,expansion,name,id,cost,effect,keywords
Gem,O,Unstable Pyrite,UnstablePyrite,2,"
      <p>
        Gain 1 <span class=""aether"">&AElig;</span>.<br />
        You may destroy this. If you do, gain an additional 2 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Gem,O,Molten Peridot,MoltenPeridot,3,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        If this is the second time you have played Molten Peridot this turn, 
        you may destroy this. If you do, gain a card that costs 4 <span class=""aether"">&AElig;</span> 
        or less from any supply pile.
      </p>
    ",[]
Gem,O,Helix Of Amber,HelixOfAmber,3,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        You may suffer 1 damage. If you do, destroy a card that costs 0 <span class=""aether"">&AElig;</span> 
        in your hand.
      </p>
    ",[]
Gem,O,Petrified Phoenixium,PetrifiedPhoenixium,4,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        The next time you gain a card this turn, you may cast any player's prepped spell.
      </p>
    ",[]
Gem,O,Galvanized Sapphire,GalvanizedSapphire,4,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        Xaxos: Outcast gains 1 charge.
      </p>
    ","[""xaxos""]"
Gem,O,Elongated Looq,ElongatedLooq,4,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        The next time you focus or open a breach this turn, gain 1 charge.
      </p>
    ",[]
Gem,O,Vigorous Sunstone,VigorousSunstone,5,"
      <p>
        When you gain this, if this is the second card you gained this turn, 
        place it into your hand.<br />
        Gain 3 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Gem,O,Duplicating Sazite,DuplicatingSazite,6,"
      <p>
        Gain 3 <span class=""aether"">&AElig;</span>.<br />
        The next time you gain a card this turn, you may discard a prepped spell 
        that costs 1 <span class=""aether"">&AElig;</span> or more. If you do, 
        any ally gains a card from the supply that costs less than or equal to the card 
        you gained.
      </p>
    ",[]
Relic,O,Orb Of The Deep,OrbOfTheDeep,2,"
      <p>
        Focus your closed breach with the lowest focus cost.
        <span class=""or"">OR</span>
        Destroy this. Gain 1 charge.
      </p>
    ",[]
Relic,O,Carnivorous Roox,CarnivorousRoox,3,"
      <p>
        Gain 1 <span class=""aether"">&AElig;</span>. You may destroy a card in hand 
        to gain <span class=""aether"">&AElig;</span> equal to its cost.
        <span class=""or"">OR</span>
        Destroy this. Focus your closed breach with the lowest focus cost twice.
      </p>
    ",[]
