id,name,expansion,level,subtype,effect
RhiasPlanarPocket,Rhia's Planar Pocket,O,1,Gem,"
      <p>
        Gain 1 <span class=""aether"">&AElig;</span>.<br />
        Gain an additional <span class=""aether"">&AElig;</span> that can only be used 
        to gain a relic.
      </p>
    "
TalixsEverburn,Talix's Everburn,O,1,Gem,"
      <p>
        Gain 1 <span class=""aether"">&AElig;</span>.<br />
        Discard up to three spells in hand. Gain 1 <span class=""aether"">&AElig;</span> 
        for each spell discarded this way.
      </p>
    "
LostsForgedSpark,Lost's Forged Spark,O,1,Spell,"
      <p>
        <span class=""hint"">(When the game starts, add a Crystal to your discard pile.)</span><br />
        <b>Cast:</br> Deal 2 damage.
      </p>
    "
MazrasThesis,Mazra's Thesis,O,1,Spell,"
      <p>
        <b>Cast:</br> Deal 1 damage.<br />
        Focus any player's III breach.
      </p>
    "
RazrasTrainingWhistle,Razra's Training Whistle,O,1,Gem,"
      <p>
        Gain 1 <span class=""aether"">&AElig;</span>. 
        <span class=""or"">OR</span>
        Gain 1 charge.
      </p>
    "
RejuvenatingDiamond,Rejuvenating Diamond,O,2,,"
      <p>
        When Gravehold gains life, Gravehold gains an additional 1 life.
      </p>
    "
BrokenTooth,Broken Tooth,O,2,,"
      <p>
        When a player opens a breach, any ally draws a card.
      </p>
    "
PoisonHeart,Poison Heart,O,2,,"
      <p>
        At the start of the game, set this next to a spell supply pile that 
        costs 5 <span class=""aether"">&AElig;</span> or less. Those spells deal 
        1 additional damage when cast.
      </p>
    "
WorldMarble,World Marble,O,3,,"
      <p>
        At the start of your first turn of the game, focus one of your breaches 
        three times.
      </p>
    "
ArmoredPauldrons,Armored Pauldrons,O,3,,"
      <p>
        When you play a relic that costs 3 <span class=""aether"">&AElig;</span> 
        or more, deal 1 damage.
      </p>
    "
BloodshotGeode,Bloodshot Geode,O,3,,"
      <p>
        When you play a gem that costs 5 <span class=""aether"">&AElig;</span> 
        or more, deal 2 damage.
      </p>
    "
TreasuredStone,Treasured Stone,O,3,,"
      <p>
        At the start of your first turn of the game, gain a gem from any supply pile.
      </p>
    "
ReboundGauntlet,Rebound Gauntlet,O,3,,"
      <p>
        Once per turn, when you cast a spell that costs 5 <span class=""aether"">&AElig;</span> 
        or less, you may discard a spell in hand to return the cast spell to your hand.
      </p>
    "
