id,name,expansion,tier,type,effect,upgraded
ChaosStrike,Chaos Strike,O,1,Attack,"
      <p>
        Unleash.<br />
        <br />
        Gravehold suffers 4 damage.<br />
        <br />
        Any player gains a Cursed Shard from the Curse deck and places it on top of their deck.
      </p>
    ",1
LabyrinthWraith-O,Labyrinth Wraith,O,1,Minion,"
      <p>
        <b>Wandering</b> <span class=""hint"">(Reduce to 1 all damage that is dealt to this 
        by abilities and player cards. During any player's main phase, that player 
        may spend any amount of <span class=""aether"">&AElig;</span> to deal an 
        equal amount of damage to this.)</span><br />
        <b>Persistent:</b> Unleash. Any player suffers 1 damage.
      </p>
    ",1
RainOfDevastation,Rain Of Devastation,O,1,Power,"
      <p>
        <b>To Discard:</b> Spend 6 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>Power 2:</b> Unleash twice. Any player suffers 3 damage.
      </p>
    ",1
HuntTheWeak,Hunt The Weak,O,2,Attack,"
      <p>
        Any player suffers 3 damage.<br />
        <br />
        Gravehold suffers 3 damage.<br />
      </p>
    ",1
Rescind,Rescind,O,2,Attack,"
      <p>
        Unleash twice.<br />
        <br />
        The player with the most expensive prepped spell discards that spell and suffers 2 damage.
      </p>
    ",1
HarbingerOfMonstrosity-O,Harbinger Of Monstrosity,O,2,Minion,"
      <p>
        When a player deals damage to this minion, reduce that damage by 2, 
        to a minimum of 1.<br />
        <b>Persistent:</b> Gravehold suffers 2 damage. Any player discards a card in hand.
      </p>
    ",1
MageDevourer-O,Mage Devourer,O,2,Minion,"
      <p>
        When a player deals damage to this minion, the player with the most opened breaches 
        suffers 1 damage.<br />
        <b>Persistent:</b> Unleash. Gravehold suffers 1 damage.
      </p>
    ",1
SilentDecay,Silent Decay,O,2,Power,"
      <p>
        <b>To Discard:</b> Spend 8 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>Power 2:</b> Unleash twice. Gravehold suffers 3 damage. Any player gains a Cursed Bolt 
        from the Curse deck and places it on top of their deck.
      </p>
    ",1
SkyCrush,Sky Crush,O,3,Attack,"
      <p>
        Unleash three times.<br />
        <br />
        Any player destroys two cards in hand and suffers 2 damage.
      </p>
    ",1
Scour,Scour,O,3,Attack,"
      <p>
        Unleash three times.<br />
        <br />
        The player with the most expensive card in hand discards their three most expensive cards in hand.
      </p>
    ",1
Sacrifice-O,Sacrifice,O,3,Attack,"
      <p>
        Unleash four times.
        <span class=""or"">OR</span>
        Gravehold suffers 4 damage and any player suffers 4 damage.
      </p>
    ",1
ScionOfTheVoid-O,Scion Of The Void,O,3,Minion,"
      <p>
        When a player deals damage to this minion, Unleash.<br />
        <b>Persistent:</b> Unleash twice.
      </p>
    ",1
RayOfDesolation-O,Ray Of Desolation,O,3,Power,"
      <p>
        <b>Power 1:</b> Unleash twice. The players collectively destroy the two most expensive 
        prepped spells.
      </p>
    ",1
BlightedMagic,Blighted Magic,O,3,Power,"
      <p>
        <b>Power 2:</b> Unleash. The player with the most expensive prepped spell destroyed it. 
        A different player destroys two cards in hand that cost 1 <span class=""aether"">&AElig;</span> 
        or more.
      </p>
    ",1
BlackenedStars,Blackened Stars,O,3,Power,"
      <p>
        <b>To Discard:</b> Spend 9 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>Power 2:</b> Any player suffers 7 damage.
      </p>
    ",1
