type,expansion,name,id,cost,effect,keywords
Gem,SV,Quickening Qitite,QuickeningQitite,3,"
      <p>
        Gain 2 <span class=""aether"">&AElig;</span>.<br />
        You may discard a card in hand. If you do, focus any player's II breach.
      </p>
    ",[]
Gem,SV,Jeweled Urup,JeweledUrup,5,"
      <p>
        Gain 3 <span class=""aether"">&AElig;</span>.
        <span class=""or"">OR</span>
        If this is the second time you have played Jeweled Urup this turn, 
        you may destroy this. If you do, gain a card from any supply pile 
        that costs 7 <span class=""aether"">&AElig;</span> or less.
      </p>
    ",[]
Relic,SV,Cat's Eye,CatsEye,1,"
      <p>
        You cannot gain this card if you have gained another card this turn. You cannot 
        gain any other cards the turn you gain this.<br />
        Gain 1 charge. You may destroy this. If you do, gain 1 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Relic,SV,Volt Replicator,VoltReplicator,4,"
      <p>
        Any ally gains a card that costs 5 <span class=""aether"">&AElig;</span> or less. 
        If there are two or fewer Volt Replicator in the supply, you may destroy this. If you do, 
        place the gained card into that ally's hand instead.
      </p>
    ",[]
Relic,SV,Energized Conduit,EnergizedConduit,7,"
      <p>
        <b>Attach</b> this to any player's breach.
      </p>
      <p>
        When a spell is cast from this breach, the player who cast that spell gains 1 charge.
      </p>
    ","[""attach""]"
Spell,SV,Flame Jab,FlameJab,1,"
      <p>
        <b>Cast:</b> Deal 2 damage to a minion.<br />
        You may destroy this. If you do, gain 1 <span class=""aether"">&AElig;</span>.
      </p>
    ",[]
Spell,SV,Gathering Winds,GatheringWinds,3,"
      <p>
        <b>Cast:</b> Deal 2 damage.<br />
        If there are six or more other cards in your discard pile, focus any player's breach.
      </p>
    ",[]
Spell,SV,Cinder Shower,CinderShower,5,"
      <p>
        While prepped, when you gain a card, deal 1 damage.<br />
        <b>Cast:</br> Deal 3 damage.
      </p>
    ",[]
Spell,SV,Reaper's Flame,ReapersFlame,7,"
      <p>
        While prepped, once per turn when you cast another spell, you may gain a card that costs 
        5 <span class=""aether"">&AElig;</span> or less from any supply pile.<br />
        <b>Cast:</br> Deal 5 damage.
      </p>
    ",[]
Spell,SV,Erasure Of Mind,ErasureOfMind,7,"
      <p>
        <b>Cast:</b> Destroy a card in hand that costs 3<span class=""aether"">&AElig;</span> or more. 
        If you do, deal 10 damage.
        <span class=""or"">OR</span>
        <b>Cast:</b> Deal 5 damage. Reveal the top two cards of your deck and place any number on top 
        of your discard pile.
      </p>
    ",[]
