type,expansion,name,id,cost,effect,keywords
Gem,WE,Erratic Ingot,ErraticIngot,5,"
      <p>
      Gain 2 <span class=""aether"">&AElig;</span>.<br/>
      Gain an additional 2 <span class=""aether"">&AElig;</span> if there is 
        at least one nemesis turn order card in the turn order discard pile.
      </p>
      ",[]
Spell,WE,Reduce To Ash,ReduceToAsh,7,"
      <p>
      While prepped, at the start of your casting phase reveal the top card 
      of your deck. You may destroy the revealed card.<br/>
        <b>Cast:</b> Deal 4 damage.
        </p>
        ",[]
Relic,WE,Vortex Gauntlet,VortexGauntlet,6,"
      <p>
      Cast any player's prepped spell.<br/>
      Return that spell to that player's hand.
      </p>
      ",[]
Spell,WE,Carbonize,Carbonize,4,"
      <p>
      <b>Cast:</b> Deal 3 damage.<br/>
      Reveal the top card of the turn order deck. You may place that card on 
      the bottom of the turn order deck.
        </p>
      ",[]
Spell,WE,Equilibrium,Equilibrium,7,"
      <p>
      While prepped, when you suffer damage reduce that damage by 1, to a 
      minimum of 1.<br/>
        <b>Cast:</b> Deal 4 damage.
        </p>
        ",[]
Gem,WE,Volcanic Glass,VolcanicGlass,3,"
      <p>
      When you gain this on your turn, you may spend 2 <span class=""aether"">&AElig;</span>. 
        If you do, any ally also gains a Volcanic Glass and places it on top 
      of their deck.<br/>
      Gain 2 <span class=""aether"">&AElig;</span>.
      </p>
      ",[]
Spell,WE,Convection Field,ConvectionField,5,"
      <p>
      <b>Cast:</b> Deal 4 damage.
        <span class=""or"">OR</span>
      <b>Cast:</b> Deal 2 damage. Any ally day destroy a card in hand.
        </p>
      ",[]
Spell,WE,Jagged Lightning,JaggedLightning,4,"
      <p>
      <b>Cast:</b> Deal 3 damage.<br/>
      You may discard a card in hand. If you do, any player focuses their 
      closed breach with the lowest focus cost.
        </p>
      ",[]
Gem,WE,Bloodstone Jewel,BloodstoneJewel,6,"
      <p>
      When you gain a Bloodstone Jewel for the first time on you turn, gain
        3 <span class=""aether"">&AElig;</span>. <br/>
      Gain 3 <span class=""aether"">&AElig;</span>.
      </p>
      ",[]
Spell,WE,Kindle,Kindle,4,"
      <p>
      While prepped, during your main phase you may also prep on Spark to the 
      breach this spell is prepped to.<br/>
        <b>Cast:</b> Deal 3 damage.
        </p>
        ",[]
Spell,WE,Thoughtform Familiar,ThoughtformFamiliar,3,"
      <p>
      <b>Cast:</b> Deal 2 damage.<br/>
      Deal 1 additional damage for each of your other prepped spells.
        </p>
        ",[]
Spell,WE,Crystallize,Crystallize,8,"
      <p>
      This spell must be prepped to two adjacent breaches so that this card 
      touches both breaches. This fully occupies both breaches.<br/>
      <b>Cast:</b> Any ally reveals their hand.<br/>
      Deal 2 damage for each gem in that ally's hand.
        </p>
        ",[]
