type,expansion,name,id,cost,effect,keywords
Gem,AE,Skupisko Diamentów,DiamondCluster,4,"
        <p>
          Otrzymujesz 2 <span class=""aether"">&AElig;</span>.<br/>
          Jeżeli zagrałeś Skupisko Diamentów po raz DRUGI w jednej turze, otrzymujesz dodatkowo 2 <span class=""aether"">&AElig;</span>.
        </p>
      ",[]
Spell,AE,Arka Chaosu,ChaosArc,6,"
      <p>
      <b>Aktywacja:</b> Zadaj 3 obrażenia.<br/>
      Zadaj 2 dodatkowe obrażenia za każde zaklęcie przygotowane na przylegających Bramach.
        </p>
        ",[]
Spell,AE,Podpalenie,Ignite,4,"
        <p>
          <b>Aktywacja:</b> Zadaj 2 obrażenia.<br/>
          Dowolny sojusznik otrzymuje 1 ładunek.
        </p>
          ",[]
Spell,AE,Kradzież Świadomości,EssenceTheft,5,"
        <p>
          <b>Aktywacja:</b> Zadaj 3 obrażenia.<br/>
          Możesz odrzucić kartę z ręki. Jeżeli to zrobisz, dowolny gracz otrzymuje 1 punkt życia.
        </p>
      ",[]
Gem,AE,Ognisty Rubin,SearingRuby,4,"
      <p>
      Otrzymujesz 2 <span class=""aether"">&AElig;</span>.<br/>
      Otrzymujesz dodatkowo 1 <span class=""aether"">&AElig;</span>, który może zostać wykorzystany wyłącznie do pozyskania Zaklęcia.
      </p>
      ",[]
Spell,AE,Dziki Piorun,FeralLightning,5,"
        <p>
          To zaklęcie może zostać przygotowane na zamkniętej Bramie, bez jej wzmacniania.<br/>
          <b>Aktywacja:</b> Zadaj 3 obrażenia.
        </p>
      ",[]
Spell,AE,Zmysł Wymiarów,PlanarInsight,6,"
      <p>
      <b>Aktywacja:</b> Zadaj 2 obrażenia.<br/>
        Zadaj po 1 dodatkowym obrażeniu za każdą swoją otwartą Bramę.
        </p>
      ",[]
Spell,AE,Upiorny Pogłos,SpectralEcho,3,"
        <p>
          <b>Aktywacja:</b> Zadaj 2 obrażenia.<br/>
          Możesz zniszczyć kartę na ręce.
        </p>
          ",[]
Gem,AE,Burning Opal,BurningOpal,5,"
      <p>
      Otrzymujesz 3 <span class=""aether"">&AElig;</span>.<br/>
      Możesz odrzucić dowolną kartę z ręki, aby sojusznik mógł dobrać kartę.
      </p>
      ",[]
Spell,AE,Nieokiełznana Czeluść,ConsumingVoid,7,"
      <p>
      <b>Aktywacja:</b> Zniszcz do dwóch kart na ręce.<br/>
      Zadaj 3 obrażenia za każdą zniszczoną w ten sposób kartę.
        </p>
        ",[]
