id,expansion,tier,type,name,effect
Afflict-WE,WE,1,Attack,Dokuczliwy Dotyk,"
      <p>
        Wyzwolenie.<br />
        <br />
        Dowolny gracz otrzymuje 3 obrażenia i może dobrać na rękę kartę ze swojego stosu kart odrzuconych.
      </p>
    "
CatacombDrone-WE,WE,1,Minion,Robotnica z Katakumb,"
      <p>
        <b>TRWAŁY:</b> Wyzwolenie. Gravehold otrzymuje 1 obrażenie.
      </p>
    "
Encroach-WE,WE,1,Attack,Wtargnięcie,"
      <p>
        Wyzwolenie.<br />
        <br />
        Odkryj wierzchnią kartę talii tur. Jeżeli odkryta została karta tury gracza, ten gracz otrzymuje 2 obrażenia. W innym przypadku, 
        Gravehold otrzymuje 3 obrażenia.
      </p>
    "
HeartofNothing-WE,WE,1,Power,Serce Nicości,"
      <p>
        <b>ABY ODRZUCIĆ:</b> Odrzuć cztery karty z ręki.<br />
        <br />
        <b>MOC 2:</b> Dwukrotne Wyzwolenie.<br />
        <br />
        <span class=""or"">ALBO</span><br />
        <br />
        Dowolny gracz otrzymuje 4 obrażenia.
      </p>
    "
HowlingSpinners-WE,WE,1,Minion,Wijący Tkacze,"
      <p>
        <b>TRWAŁY:</b> Dowolny gracz otrzymuje 2 obrażenia.
      </p>
    "
NightUnending-WE,WE,1,Power,Niekończąca się noc,"
      <p>
        <b>MOC 3:</b> Gravehold otrzymuje 2 obrażenia za każde Zaklęcie przygotowane przez gracza, który ma najwięcej przygotowanych Zaklęć.
      </p>
    "
Nix-WE,WE,1,Attack,Wykończenie,"
      <p>
        Wyzwolenie.<br />
        <br />
        Dowolny gracz otrzymuje 1 obrażenie i odrzuca z ręki kartę o najwyższej wartości.
      </p>
    "
PlanarCollision-WE,WE,1,Power,Kolizja Planarna,"
      <p>
        <b>ABY ODRZUCIĆ:</b> Odrzuć dwa przygotowane Zaklęcia.<br />
        <br />
        <b>MOC 2:</b> Dwukrotne Wyzwolenie.
      </p>
    "
Thrash-WE,WE,1,Attack,Młócka,"
      <p>
        Wyzwolenie.<br />
        <br />
        Gracze wspólnie odrzucają 2 karty z ręki.
      </p>
    "
AphoticSun-WE,WE,2,Power,Posępne Słońce,"
      <p>
        <b>ABY ODRZUCIĆ:</b> Wydaj 7 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>MOC 2:</b> Wyzwolenie. Gracz posiadający najwięcej Ładunków otrzymuje 3 obrażenia i traci wszystkie swoje Ładunki.
      </p>
    "
ChaosFlail-WE,WE,2,Power,Kiścień Chaosu,"
      <p>
        <b>ABY ODRZUCIĆ:</b> Wydaj 7 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>MOC 2:</b> Dwukrotne Wyzwolenie. Dowolny gracz umieszcza swój stos kart odrzuconych na wierzchu swojej talii po czym ją tasuje.
        Następnie ten gracz odkrywa dwie wierzchnie karty swojej talii i niszczy najdroższą z odkrytych kart.
      </p>
    "
MageEnder-WE,WE,2,Minion,Zabójca Magów,"
      <p>
        <b>TRWAŁY:</b> Gracz z największą liczbą otwartych Bram otrzymuje 2 obrażenia.
      </p>
    "
Mangleroot-WE,WE,2,Minion,Rozrywokrzew,"
      <p>
        <b>TRWAŁY:</b> Gravehold otrzymuje 3 obrażenia. Ten Poplecznik otrzymuje 2 obrażenia.
      </p>
    "
MorbidGyre-WE,WE,2,Power,Makabryczny Wir,"
      <p>
        <b>ABY ODRZUCIĆ:</b> Wydaj 7 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>MOC 1:</b> Dwukrotne Wyzwolenie. Gracze wspólnie odrzucają 3 karty z ręki.
      </p>
    "
