type,expansion,name,id,cost,effect,keywords
Gem,WE,Nieregularny Monokryształ,ErraticIngot,5,"
      <p>
      Otrzymujesz 2 <span class=""aether"">&AElig;</span>.<br/>
      Otrzymujesz dodatkowe 2 <span class=""aether"">&AElig;</span> jeżeli w stosie odrzuconych kart tur 
      jest przynajmniej jedna karta tury Nemezis.
      </p>
      ",[]
Spell,WE,Spopielające Cienie,ReduceToAsh,7,"
      <p>
      Gdy przygotowane: na początku swojej fazy aktywacji odkryj wierzchnią kartę swojej talii. 
      Możesz zniszczyć odkrytą kartę.<br/>
        <b>Aktywacja:</b> Zadaj 4 obrażenia.
        </p>
        ",[]
Relic,WE,Rękawica Wiru Magii,VortexGauntlet,6,"
      <p>
      Aktywuj przygotowane Zaklęcie dowolnego gracza.<br/>
      Zwróć to Zaklęcie na rękę tego gracza.
      </p>
      ",[]
Spell,WE,Zwęglenie,Carbonize,4,"
      <p>
      <b>Aktywacja:</b> Zadaj 3 obrażenia.<br/>
      Odkryj wierzchnią kartę talii tur. Możesz umieścić tę kartę na spodzie talii tur.
        </p>
      ",[]
Spell,WE,Equilibrium,Equilibrium,7,"
      <p>
      Gdy przygotowane: za każdym razem gdy otrzymujesz obrażenia obniżasz je o 1 (do minimum 1).<br/>
        <b>Aktywacja:</b> Zadaj 4 obrażenia.
        </p>
        ",[]
Gem,WE,Szkło Wulkaniczne,VolcanicGlass,3,"
      <p>
      Kiedy pozyskujesz tę kartę w swojej turze, możesz wydać 2 <span class=""aether"">&AElig;</span>. 
      Jeżeli to zrobisz, dowolny sojusznik także pozyskuje Szkło Wulkaniczne i umieszcza je na wierzchu swojej talii.<br/>
      Otrzymujesz 2 <span class=""aether"">&AElig;</span>.
      </p>
      ",[]
Spell,WE,Sfera Konwekcji,ConvectionField,5,"
      <p>
      <b>Aktywacja:</b> Zadaj 4 obrażenia.
        <span class=""or"">ALBO</span>
      <b>Aktywacja:</b> Zadaj 2 obrażenia. Dowolny sojusznik może zniszczyć kartę z ręki.
        </p>
      ",[]
Spell,WE,Postrzępiona Błyskawica,JaggedLightning,4,"
      <p>
      <b>Aktywacja:</b> Zadaj 3 obrażenia.<br/>
      Możesz odrzucić kartę z ręki. Jeżeli to zrobisz, dowolny gracz wzmacnia swoją zamkniętą Bramę o najniższym koszcie.
        </p>
      ",[]
Gem,WE,Krwawy Klejnot,BloodstoneJewel,6,"
      <p>
      Kiedy pozyskujesz Krwawy Klejnot po raz PIERWSZY w swojej turze, otrzymujesz 3 <span class=""aether"">&AElig;</span>. <br/>
      Otrzymujesz 3 <span class=""aether"">&AElig;</span>.
      </p>
      ",[]
Spell,WE,Iskrzenie,Kindle,4,"
      <p>
      Gdy przygotowane: podczas swojej fazy głównej możesz także przygotować jedną Iskrę na Bramie, na której to Iskrzenie.<br/>
        <b>Aktywacja:</b> Zadaj 3 obrażenia.
        </p>
        ",[]
Spell,WE,Myślokształtny Chowaniec,ThoughtformFamiliar,3,"
      <p>
      <b>Aktywacja:</b> Zadaj 2 obrażenia.<br/>
      Zadaj 1 dodatkowe obrażenie za każde inne twoje przygotowane Zaklęcie.
        </p>
        ",[]
